=== Summary for solver: LAD (random graphs) ===

graph | time(s) | alloc(B)
100_random_graph_1000.lad | 66.940 | 12233116
10_random_graph_1000.lad | NaN | NaN
11_random_graph_1000.lad | NaN | NaN
12_random_graph_1000.lad | 86.900 | 12513736
13_random_graph_1000.lad | NaN | NaN
14_random_graph_1000.lad | NaN | NaN
15_random_graph_1000.lad | NaN | NaN
16_random_graph_1000.lad | NaN | NaN
17_random_graph_1000.lad | NaN | NaN
18_random_graph_1000.lad | NaN | NaN
19_random_graph_1000.lad | NaN | NaN
1_random_graph_1000.lad | NaN | NaN
20_random_graph_1000.lad | NaN | NaN
21_random_graph_1000.lad | NaN | NaN
22_random_graph_1000.lad | NaN | NaN
23_random_graph_1000.lad | 77.030 | 12501124
24_random_graph_1000.lad | NaN | NaN
25_random_graph_1000.lad | NaN | NaN
26_random_graph_1000.lad | NaN | NaN
27_random_graph_1000.lad | NaN | NaN
28_random_graph_1000.lad | NaN | NaN
29_random_graph_1000.lad | NaN | NaN
2_random_graph_1000.lad | NaN | NaN
30_random_graph_1000.lad | NaN | NaN
31_random_graph_1000.lad | NaN | NaN
32_random_graph_1000.lad | NaN | NaN
33_random_graph_1000.lad | NaN | NaN
34_random_graph_1000.lad | NaN | NaN
35_random_graph_1000.lad | NaN | NaN
36_random_graph_1000.lad | NaN | NaN
37_random_graph_1000.lad | NaN | NaN
38_random_graph_1000.lad | NaN | NaN
39_random_graph_1000.lad | NaN | NaN
3_random_graph_1000.lad | NaN | NaN
40_random_graph_1000.lad | NaN | NaN
41_random_graph_1000.lad | NaN | NaN
42_random_graph_1000.lad | NaN | NaN
43_random_graph_1000.lad | NaN | NaN
44_random_graph_1000.lad | NaN | NaN
45_random_graph_1000.lad | NaN | NaN
46_random_graph_1000.lad | NaN | NaN
47_random_graph_1000.lad | 7.560 | 11742516
48_random_graph_1000.lad | NaN | NaN
49_random_graph_1000.lad | NaN | NaN
4_random_graph_1000.lad | NaN | NaN
50_random_graph_1000.lad | NaN | NaN
51_random_graph_1000.lad | NaN | NaN
52_random_graph_1000.lad | NaN | NaN
53_random_graph_1000.lad | NaN | NaN
54_random_graph_1000.lad | 86.560 | 12553412
55_random_graph_1000.lad | NaN | NaN
56_random_graph_1000.lad | NaN | NaN
57_random_graph_1000.lad | NaN | NaN
58_random_graph_1000.lad | NaN | NaN
59_random_graph_1000.lad | NaN | NaN
5_random_graph_1000.lad | 2.330 | 9371896
60_random_graph_1000.lad | NaN | NaN
61_random_graph_1000.lad | NaN | NaN
62_random_graph_1000.lad | NaN | NaN
63_random_graph_1000.lad | NaN | NaN
64_random_graph_1000.lad | 18.180 | 12160960
65_random_graph_1000.lad | NaN | NaN
66_random_graph_1000.lad | NaN | NaN
67_random_graph_1000.lad | NaN | NaN
68_random_graph_1000.lad | NaN | NaN
69_random_graph_1000.lad | NaN | NaN
6_random_graph_1000.lad | NaN | NaN
70_random_graph_1000.lad | NaN | NaN
71_random_graph_1000.lad | NaN | NaN
72_random_graph_1000.lad | 2.220 | 9211896
73_random_graph_1000.lad | NaN | NaN
74_random_graph_1000.lad | NaN | NaN
75_random_graph_1000.lad | NaN | NaN
76_random_graph_1000.lad | NaN | NaN
77_random_graph_1000.lad | NaN | NaN
78_random_graph_1000.lad | NaN | NaN
79_random_graph_1000.lad | NaN | NaN
7_random_graph_1000.lad | NaN | NaN
80_random_graph_1000.lad | 2.210 | 9251896
81_random_graph_1000.lad | 17.210 | 12103556
82_random_graph_1000.lad | NaN | NaN
83_random_graph_1000.lad | NaN | NaN
84_random_graph_1000.lad | NaN | NaN
85_random_graph_1000.lad | NaN | NaN
86_random_graph_1000.lad | NaN | NaN
87_random_graph_1000.lad | NaN | NaN
88_random_graph_1000.lad | 2.130 | 9347896
89_random_graph_1000.lad | NaN | NaN
8_random_graph_1000.lad | NaN | NaN
90_random_graph_1000.lad | NaN | NaN
91_random_graph_1000.lad | NaN | NaN
92_random_graph_1000.lad | NaN | NaN
93_random_graph_1000.lad | NaN | NaN
94_random_graph_1000.lad | NaN | NaN
95_random_graph_1000.lad | NaN | NaN
96_random_graph_1000.lad | NaN | NaN
97_random_graph_1000.lad | NaN | NaN
98_random_graph_1000.lad | NaN | NaN
99_random_graph_1000.lad | NaN | NaN
9_random_graph_1000.lad | NaN | NaN
