=== Summary for solver: VF3 (random graphs) ===

graph | time(s) | alloc(B)
100_random_graph_1000.grf | 99.050 | 2085440
10_random_graph_1000.grf | NaN | NaN
11_random_graph_1000.grf | NaN | NaN
12_random_graph_1000.grf | NaN | NaN
13_random_graph_1000.grf | NaN | NaN
14_random_graph_1000.grf | NaN | NaN
15_random_graph_1000.grf | NaN | NaN
16_random_graph_1000.grf | NaN | NaN
17_random_graph_1000.grf | NaN | NaN
18_random_graph_1000.grf | NaN | NaN
19_random_graph_1000.grf | NaN | NaN
1_random_graph_1000.grf | NaN | NaN
20_random_graph_1000.grf | NaN | NaN
21_random_graph_1000.grf | NaN | NaN
22_random_graph_1000.grf | NaN | NaN
23_random_graph_1000.grf | 98.680 | 2260352
24_random_graph_1000.grf | NaN | NaN
25_random_graph_1000.grf | NaN | NaN
26_random_graph_1000.grf | NaN | NaN
27_random_graph_1000.grf | NaN | NaN
28_random_graph_1000.grf | NaN | NaN
29_random_graph_1000.grf | NaN | NaN
2_random_graph_1000.grf | NaN | NaN
30_random_graph_1000.grf | NaN | NaN
31_random_graph_1000.grf | NaN | NaN
32_random_graph_1000.grf | NaN | NaN
33_random_graph_1000.grf | NaN | NaN
34_random_graph_1000.grf | NaN | NaN
35_random_graph_1000.grf | NaN | NaN
36_random_graph_1000.grf | NaN | NaN
37_random_graph_1000.grf | NaN | NaN
38_random_graph_1000.grf | NaN | NaN
39_random_graph_1000.grf | NaN | NaN
3_random_graph_1000.grf | NaN | NaN
40_random_graph_1000.grf | NaN | NaN
41_random_graph_1000.grf | NaN | NaN
42_random_graph_1000.grf | NaN | NaN
43_random_graph_1000.grf | NaN | NaN
44_random_graph_1000.grf | NaN | NaN
45_random_graph_1000.grf | NaN | NaN
46_random_graph_1000.grf | NaN | NaN
47_random_graph_1000.grf | 87.420 | 1788344
48_random_graph_1000.grf | NaN | NaN
49_random_graph_1000.grf | NaN | NaN
4_random_graph_1000.grf | NaN | NaN
50_random_graph_1000.grf | NaN | NaN
51_random_graph_1000.grf | NaN | NaN
52_random_graph_1000.grf | NaN | NaN
53_random_graph_1000.grf | NaN | NaN
54_random_graph_1000.grf | 106.690 | 2282768
55_random_graph_1000.grf | NaN | NaN
56_random_graph_1000.grf | NaN | NaN
57_random_graph_1000.grf | NaN | NaN
58_random_graph_1000.grf | NaN | NaN
59_random_graph_1000.grf | NaN | NaN
5_random_graph_1000.grf | 74.490 | 1495052
60_random_graph_1000.grf | NaN | NaN
61_random_graph_1000.grf | NaN | NaN
62_random_graph_1000.grf | NaN | NaN
63_random_graph_1000.grf | NaN | NaN
64_random_graph_1000.grf | 101.820 | 2066444
65_random_graph_1000.grf | NaN | NaN
66_random_graph_1000.grf | NaN | NaN
67_random_graph_1000.grf | NaN | NaN
68_random_graph_1000.grf | NaN | NaN
69_random_graph_1000.grf | NaN | NaN
6_random_graph_1000.grf | NaN | NaN
70_random_graph_1000.grf | NaN | NaN
71_random_graph_1000.grf | NaN | NaN
72_random_graph_1000.grf | 73.690 | 1340972
73_random_graph_1000.grf | NaN | NaN
74_random_graph_1000.grf | NaN | NaN
75_random_graph_1000.grf | NaN | NaN
76_random_graph_1000.grf | NaN | NaN
77_random_graph_1000.grf | NaN | NaN
78_random_graph_1000.grf | NaN | NaN
79_random_graph_1000.grf | NaN | NaN
7_random_graph_1000.grf | NaN | NaN
80_random_graph_1000.grf | 76.170 | 1472420
81_random_graph_1000.grf | 108.310 | 1999076
82_random_graph_1000.grf | NaN | NaN
83_random_graph_1000.grf | NaN | NaN
84_random_graph_1000.grf | NaN | NaN
85_random_graph_1000.grf | NaN | NaN
86_random_graph_1000.grf | NaN | NaN
87_random_graph_1000.grf | NaN | NaN
88_random_graph_1000.grf | 62.960 | 1349156
89_random_graph_1000.grf | NaN | NaN
8_random_graph_1000.grf | NaN | NaN
90_random_graph_1000.grf | NaN | NaN
91_random_graph_1000.grf | NaN | NaN
92_random_graph_1000.grf | NaN | NaN
93_random_graph_1000.grf | NaN | NaN
94_random_graph_1000.grf | NaN | NaN
95_random_graph_1000.grf | NaN | NaN
96_random_graph_1000.grf | NaN | NaN
97_random_graph_1000.grf | NaN | NaN
98_random_graph_1000.grf | NaN | NaN
99_random_graph_1000.grf | NaN | NaN
9_random_graph_1000.grf | NaN | NaN
